term,definition,aliases
PPS,Printhead to Paper Spacing - distance between printhead and media surface,pps|pen to paper spacing|nozzle spacing
Priming,Filling printhead with ink and removing trapped air for printing preparation,priming|printhead priming|ink priming
Print Artifact,Unwanted visual anomalies in printed content,print artifact|printing defect|visual anomaly
Print Bar,OEM-provided plate for mounting Print Module to OEM system,print bar|oem plate|mounting bar
Print Engine,Subsystem driving printheads including maintenance and control components,print engine|printing engine
Print Engine Supervisor,Interface between Print Modules and OEM Controller using Apache Thrift,pes|print supervisor
Print Module,Comprises Printhead Cradle Module Maintenance Module and Lift Mechanism,print module|printing module
Printer Signal Combiner,Interface using electrical signals to coordinate real-time printing operations,psc|signal combiner
Print Unit,Complete system with Print Module Maintenance CMYK IDS WIMM AES and Electrical Module,print unit|printing unit
Print Zone,Area where media moves directly under printheads where printing occurs,print zone|printing area
Printer,Overall printing system designed by OEM from components and DuraFlex modules,printer|printing system
Printer Control Software,Software controlling OEM printer and DuraFlex print engine via PES interface,pcs|control software
Printhead,Device transferring ink onto media - page-wide 1600 dpi device,printhead|print head
Printhead Cradle,Houses printhead cartridge power supply boards and fluidic couplings,printhead cradle|cradle|print cradle
Printhead Power PCA,PCA board supplying power to printhead,printhead power|power pca
Printhead to Paper Spacing,Distance between printhead nozzle plate and media surface,pps|pen to paper spacing|printhead spacing
PSC,Print Signals Combined - coordinated printing signals,psc|print signals combined
Raster Image Processor,Converts high-level printer language into low-level image for printhead,rip|raster processor
RIP,Raster Image Processor - converts printer language to printhead image,rip|raster image processor
Stitching,Software process disguising join between printed images in multi-printhead engines,stitching|image stitching
TOF,Top of Form - electrical signal synchronizing print start with page top,tof|top of form
Top of Form,Electrical input signal synchronizing printing start with top of page location,tof|page top signal
Waste Ink Management Module,Module receiving waste ink from wiper and cap for disposal to OEM waste tank,wimm|waste ink management
WIMM,Waste Ink Management Module - receives and disposes waste ink,wimm|waste ink management module
Wiper Cartridge,Cartridge with microfiber tape reel for cleaning printhead in Maintenance Module,wiper cartridge|wiper|cleaning cartridge
X-axis,Direction across media travel,x-axis|x axis|horizontal axis
Y-axis,Direction of media travel also known as print direction,y-axis|y axis|print direction|vertical axis
Z-axis,Direction perpendicular to printed surface or up direction from media,z-axis|z axis|vertical direction
CMYK,Cyan Magenta Yellow Key (black) - four-color printing process,cmyk|four color|cyan magenta yellow black

